"","Month","Year","AllBeds","OneBed","TwoBeds","State","City","Date"
"1",1,2011,680,451,708,"KS","Wichita",2011-01-01
"2",2,2011,635,439,603,"KS","Wichita",2011-02-01
"3",3,2011,693,495,780,"KS","Wichita",2011-03-01
"4",4,2011,683,488,847,"KS","Wichita",2011-04-01
"5",5,2011,609,482,877,"KS","Wichita",2011-05-01
"6",6,2011,605,483,935,"KS","Wichita",2011-06-01
"7",7,2011,589,457,837,"KS","Wichita",2011-07-01
"8",8,2011,578,488,674,"KS","Wichita",2011-08-01
"9",9,2011,579,506,655,"KS","Wichita",2011-09-01
"10",10,2011,587,507,664,"KS","Wichita",2011-10-01
"11",11,2011,579,506,656,"KS","Wichita",2011-11-01
"12",12,2011,576,479,647,"KS","Wichita",2011-12-01
"13",1,2012,609,495,681,"KS","Wichita",2012-01-01
"14",2,2012,580,488,625,"KS","Wichita",2012-02-01
"15",3,2012,571,507,579,"KS","Wichita",2012-03-01
"16",4,2012,597,483,593,"KS","Wichita",2012-04-01
"17",5,2012,654,470,663,"KS","Wichita",2012-05-01
"18",6,2012,642,465,636,"KS","Wichita",2012-06-01
"19",7,2012,654,491,611,"KS","Wichita",2012-07-01
"20",8,2012,652,497,619,"KS","Wichita",2012-08-01
"21",9,2012,651,467,641,"KS","Wichita",2012-09-01
"22",10,2012,653,483,613,"KS","Wichita",2012-10-01
"23",11,2012,671,523,618,"KS","Wichita",2012-11-01
"24",12,2012,608,488,599,"KS","Wichita",2012-12-01
"25",1,2013,618,485,629,"KS","Wichita",2013-01-01
"26",2,2013,614,480,630,"KS","Wichita",2013-02-01
"27",3,2013,635,474,636,"KS","Wichita",2013-03-01
"28",4,2013,642,463,638,"KS","Wichita",2013-04-01
"29",5,2013,617,458,640,"KS","Wichita",2013-05-01
"30",6,2013,610,464,651,"KS","Wichita",2013-06-01
"31",7,2013,608,463,638,"KS","Wichita",2013-07-01
"32",8,2013,594,474,623,"KS","Wichita",2013-08-01
"33",9,2013,584,459,611,"KS","Wichita",2013-09-01
"34",10,2013,583,464,601,"KS","Wichita",2013-10-01
"35",11,2013,565,459,584,"KS","Wichita",2013-11-01
"36",12,2013,533,447,567,"KS","Wichita",2013-12-01
"37",1,2014,549,461,586,"KS","Wichita",2014-01-01
"38",2,2014,543,470,586,"KS","Wichita",2014-02-01
"39",3,2014,558,483,591,"KS","Wichita",2014-03-01
"40",4,2014,572,493,631,"KS","Wichita",2014-04-01
"41",5,2014,574,491,646,"KS","Wichita",2014-05-01
"42",6,2014,575,491,624,"KS","Wichita",2014-06-01
"43",7,2014,594,492,638,"KS","Wichita",2014-07-01
"44",8,2014,603,493,647,"KS","Wichita",2014-08-01
"45",9,2014,606,500,660,"KS","Wichita",2014-09-01
"46",10,2014,617,501,674,"KS","Wichita",2014-10-01
"47",11,2014,613,499,672,"KS","Wichita",2014-11-01
"48",12,2014,616,508,657,"KS","Wichita",2014-12-01
"49",1,2015,601,503,656,"KS","Wichita",2015-01-01
"50",2,2015,600,513,655,"KS","Wichita",2015-02-01
"51",3,2015,622,518,675,"KS","Wichita",2015-03-01
"52",4,2015,647,545,675,"KS","Wichita",2015-04-01
"53",5,2015,672,555,674,"KS","Wichita",2015-05-01
"54",6,2015,692,552,680,"KS","Wichita",2015-06-01
"55",7,2015,698,546,660,"KS","Wichita",2015-07-01
"56",8,2015,694,544,670,"KS","Wichita",2015-08-01
"57",9,2015,667,556,684,"KS","Wichita",2015-09-01
"58",10,2015,649,559,686,"KS","Wichita",2015-10-01
"59",11,2015,644,560,687,"KS","Wichita",2015-11-01
"60",12,2015,639,544,685,"KS","Wichita",2015-12-01
"61",1,2016,642,552,694,"KS","Wichita",2016-01-01
"62",2,2016,648,562,702,"KS","Wichita",2016-02-01
"63",3,2016,654,569,707,"KS","Wichita",2016-03-01
"64",4,2016,645,578,696,"KS","Wichita",2016-04-01
"65",5,2016,642,577,688,"KS","Wichita",2016-05-01
"66",6,2016,638,568,683,"KS","Wichita",2016-06-01
"67",7,2016,637,560,688,"KS","Wichita",2016-07-01
"68",8,2016,648,574,702,"KS","Wichita",2016-08-01
"69",9,2016,651,580,703,"KS","Wichita",2016-09-01
"70",10,2016,646,578,699,"KS","Wichita",2016-10-01
"71",11,2016,648,581,701,"KS","Wichita",2016-11-01
"72",12,2016,654,585,708,"KS","Wichita",2016-12-01
"73",1,2017,656,588,711,"KS","Wichita",2017-01-01
"74",2,2017,675,602,733,"KS","Wichita",2017-02-01
"75",3,2017,683,605,752,"KS","Wichita",2017-03-01
"76",4,2017,683,605,749,"KS","Wichita",2017-04-01
"77",5,2017,683,619,739,"KS","Wichita",2017-05-01
"78",6,2017,682,593,751,"KS","Wichita",2017-06-01
"79",7,2017,670,587,741,"KS","Wichita",2017-07-01
"80",8,2017,667,589,735,"KS","Wichita",2017-08-01
"81",9,2017,686,612,750,"KS","Wichita",2017-09-01
"82",10,2017,700,636,759,"KS","Wichita",2017-10-01
"83",11,2017,704,647,760,"KS","Wichita",2017-11-01
"84",12,2017,709,655,767,"KS","Wichita",2017-12-01
"85",1,2018,712,657,773,"KS","Wichita",2018-01-01
"86",2,2018,711,658,768,"KS","Wichita",2018-02-01
"87",3,2018,702,651,753,"KS","Wichita",2018-03-01
"88",4,2018,709,658,755,"KS","Wichita",2018-04-01
"89",5,2018,690,620,734,"KS","Wichita",2018-05-01
"90",6,2018,656,594,716,"KS","Wichita",2018-06-01
"91",7,2018,675,600,734,"KS","Wichita",2018-07-01
"92",8,2018,673,595,738,"KS","Wichita",2018-08-01
"93",9,2018,674,601,736,"KS","Wichita",2018-09-01
"94",10,2018,671,597,730,"KS","Wichita",2018-10-01
"95",11,2018,664,592,728,"KS","Wichita",2018-11-01
"96",12,2018,634,567,689,"KS","Wichita",2018-12-01
"97",1,2019,618,549,675,"KS","Wichita",2019-01-01
"98",2,2019,603,530,662,"KS","Wichita",2019-02-01
"99",3,2019,620,551,677,"KS","Wichita",2019-03-01
"100",1,2011,2277,2022,2728,"DC","Washington",2011-01-01
"101",2,2011,2303,2055,2716,"DC","Washington",2011-02-01
"102",3,2011,2296,2063,2711,"DC","Washington",2011-03-01
"103",4,2011,2317,2066,2761,"DC","Washington",2011-04-01
"104",5,2011,2033,1746,2405,"DC","Washington",2011-05-01
"105",6,2011,1852,1524,2128,"DC","Washington",2011-06-01
"106",7,2011,1907,1551,2179,"DC","Washington",2011-07-01
"107",8,2011,2122,1844,2511,"DC","Washington",2011-08-01
"108",9,2011,2208,1964,2562,"DC","Washington",2011-09-01
"109",10,2011,2230,1962,2602,"DC","Washington",2011-10-01
"110",11,2011,2269,1985,2651,"DC","Washington",2011-11-01
"111",12,2011,2224,1928,2619,"DC","Washington",2011-12-01
"112",1,2012,2225,1940,2578,"DC","Washington",2012-01-01
"113",2,2012,2251,1977,2604,"DC","Washington",2012-02-01
"114",3,2012,2261,2054,2568,"DC","Washington",2012-03-01
"115",4,2012,2244,1991,2563,"DC","Washington",2012-04-01
"116",5,2012,2335,2072,2772,"DC","Washington",2012-05-01
"117",6,2012,2342,2104,2758,"DC","Washington",2012-06-01
"118",7,2012,2374,2126,2785,"DC","Washington",2012-07-01
"119",8,2012,2367,2122,2738,"DC","Washington",2012-08-01
"120",9,2012,2343,2114,2761,"DC","Washington",2012-09-01
"121",10,2012,2266,2065,2672,"DC","Washington",2012-10-01
"122",11,2012,2249,2037,2644,"DC","Washington",2012-11-01
"123",12,2012,2249,2028,2667,"DC","Washington",2012-12-01
"124",1,2013,2260,2025,2701,"DC","Washington",2013-01-01
"125",2,2013,2249,2030,2632,"DC","Washington",2013-02-01
"126",3,2013,2276,2076,2731,"DC","Washington",2013-03-01
"127",4,2013,2300,2088,2786,"DC","Washington",2013-04-01
"128",5,2013,2289,2036,2837,"DC","Washington",2013-05-01
"129",6,2013,2317,2066,2803,"DC","Washington",2013-06-01
"130",7,2013,2338,2080,2796,"DC","Washington",2013-07-01
"131",8,2013,2308,2045,2787,"DC","Washington",2013-08-01
"132",9,2013,2308,2044,2752,"DC","Washington",2013-09-01
"133",10,2013,2291,2016,2719,"DC","Washington",2013-10-01
"134",11,2013,2227,1948,2647,"DC","Washington",2013-11-01
"135",12,2013,2214,1925,2620,"DC","Washington",2013-12-01
"136",1,2014,2191,1945,2613,"DC","Washington",2014-01-01
"137",2,2014,2204,1975,2669,"DC","Washington",2014-02-01
"138",3,2014,2201,1965,2667,"DC","Washington",2014-03-01
"139",4,2014,2216,1994,2639,"DC","Washington",2014-04-01
"140",5,2014,2181,1943,2660,"DC","Washington",2014-05-01
"141",6,2014,2209,1989,2661,"DC","Washington",2014-06-01
"142",7,2014,2213,1994,2663,"DC","Washington",2014-07-01
"143",8,2014,2196,1967,2646,"DC","Washington",2014-08-01
"144",9,2014,2164,1940,2614,"DC","Washington",2014-09-01
"145",10,2014,2138,1918,2590,"DC","Washington",2014-10-01
"146",11,2014,2139,1901,2569,"DC","Washington",2014-11-01
"147",12,2014,2148,1909,2555,"DC","Washington",2014-12-01
"148",1,2015,2138,1907,2563,"DC","Washington",2015-01-01
"149",2,2015,2114,1896,2575,"DC","Washington",2015-02-01
"150",3,2015,2160,1951,2594,"DC","Washington",2015-03-01
"151",4,2015,2155,1969,2604,"DC","Washington",2015-04-01
"152",5,2015,2197,1991,2681,"DC","Washington",2015-05-01
"153",6,2015,2246,2026,2740,"DC","Washington",2015-06-01
"154",7,2015,2231,2028,2716,"DC","Washington",2015-07-01
"155",8,2015,2244,2040,2721,"DC","Washington",2015-08-01
"156",9,2015,2260,2058,2720,"DC","Washington",2015-09-01
"157",10,2015,2249,2051,2713,"DC","Washington",2015-10-01
"158",11,2015,2239,2039,2700,"DC","Washington",2015-11-01
"159",12,2015,2209,2020,2656,"DC","Washington",2015-12-01
"160",1,2016,2234,2056,2677,"DC","Washington",2016-01-01
"161",2,2016,2245,2041,2684,"DC","Washington",2016-02-01
"162",3,2016,2291,2062,2760,"DC","Washington",2016-03-01
"163",4,2016,2367,2105,2886,"DC","Washington",2016-04-01
"164",5,2016,2392,2129,2924,"DC","Washington",2016-05-01
"165",6,2016,2415,2148,2959,"DC","Washington",2016-06-01
"166",7,2016,2395,2133,2906,"DC","Washington",2016-07-01
"167",8,2016,2392,2157,2895,"DC","Washington",2016-08-01
"168",9,2016,2394,2176,2899,"DC","Washington",2016-09-01
"169",10,2016,2369,2160,2832,"DC","Washington",2016-10-01
"170",11,2016,2285,2065,2697,"DC","Washington",2016-11-01
"171",12,2016,2266,2048,2687,"DC","Washington",2016-12-01
"172",1,2017,2291,2068,2728,"DC","Washington",2017-01-01
"173",2,2017,2299,2080,2744,"DC","Washington",2017-02-01
"174",3,2017,2267,2069,2693,"DC","Washington",2017-03-01
"175",4,2017,2281,2081,2741,"DC","Washington",2017-04-01
"176",5,2017,2305,2091,2788,"DC","Washington",2017-05-01
"177",6,2017,2304,2085,2788,"DC","Washington",2017-06-01
"178",7,2017,2311,2094,2784,"DC","Washington",2017-07-01
"179",8,2017,2296,2088,2753,"DC","Washington",2017-08-01
"180",9,2017,2238,2035,2664,"DC","Washington",2017-09-01
"181",10,2017,2218,2028,2639,"DC","Washington",2017-10-01
"182",11,2017,2201,2013,2612,"DC","Washington",2017-11-01
"183",12,2017,2197,2012,2601,"DC","Washington",2017-12-01
"184",1,2018,2210,2019,2627,"DC","Washington",2018-01-01
"185",2,2018,2221,2023,2644,"DC","Washington",2018-02-01
"186",3,2018,2231,2037,2658,"DC","Washington",2018-03-01
"187",4,2018,2259,2064,2686,"DC","Washington",2018-04-01
"188",5,2018,2322,2107,2795,"DC","Washington",2018-05-01
"189",6,2018,2337,2125,2818,"DC","Washington",2018-06-01
"190",7,2018,2343,2136,2814,"DC","Washington",2018-07-01
"191",8,2018,2326,2121,2796,"DC","Washington",2018-08-01
"192",9,2018,2321,2114,2788,"DC","Washington",2018-09-01
"193",10,2018,2289,2086,2732,"DC","Washington",2018-10-01
"194",11,2018,2263,2061,2702,"DC","Washington",2018-11-01
"195",12,2018,2265,2064,2708,"DC","Washington",2018-12-01
"196",1,2019,2276,2081,2732,"DC","Washington",2019-01-01
"197",2,2019,2288,2089,2757,"DC","Washington",2019-02-01
"198",3,2019,2309,2105,2782,"DC","Washington",2019-03-01
"199",1,2011,1181,884,1120,"VA","Virginia Beach",2011-01-01
"200",2,2011,1231,903,1155,"VA","Virginia Beach",2011-02-01
"201",3,2011,1222,922,1147,"VA","Virginia Beach",2011-03-01
"202",4,2011,1243,941,1161,"VA","Virginia Beach",2011-04-01
"203",5,2011,1278,917,1128,"VA","Virginia Beach",2011-05-01
"204",6,2011,1235,868,1044,"VA","Virginia Beach",2011-06-01
"205",7,2011,1131,809,988,"VA","Virginia Beach",2011-07-01
"206",8,2011,1125,875,1078,"VA","Virginia Beach",2011-08-01
"207",9,2011,1141,930,1137,"VA","Virginia Beach",2011-09-01
"208",10,2011,1124,923,1124,"VA","Virginia Beach",2011-10-01
"209",11,2011,1056,850,1037,"VA","Virginia Beach",2011-11-01
"210",12,2011,1080,843,1035,"VA","Virginia Beach",2011-12-01
"211",1,2012,1063,839,1022,"VA","Virginia Beach",2012-01-01
"212",2,2012,1080,870,1053,"VA","Virginia Beach",2012-02-01
"213",3,2012,1097,891,1100,"VA","Virginia Beach",2012-03-01
"214",4,2012,1096,896,1078,"VA","Virginia Beach",2012-04-01
"215",5,2012,1101,881,1073,"VA","Virginia Beach",2012-05-01
"216",6,2012,1066,856,1043,"VA","Virginia Beach",2012-06-01
"217",7,2012,1063,868,1032,"VA","Virginia Beach",2012-07-01
"218",8,2012,1064,885,1043,"VA","Virginia Beach",2012-08-01
"219",9,2012,1079,896,1036,"VA","Virginia Beach",2012-09-01
"220",10,2012,1065,882,1052,"VA","Virginia Beach",2012-10-01
"221",11,2012,1064,858,1049,"VA","Virginia Beach",2012-11-01
"222",12,2012,1030,840,998,"VA","Virginia Beach",2012-12-01
"223",1,2013,1023,867,1000,"VA","Virginia Beach",2013-01-01
"224",2,2013,1011,857,984,"VA","Virginia Beach",2013-02-01
"225",3,2013,1028,863,1019,"VA","Virginia Beach",2013-03-01
"226",4,2013,1064,892,1071,"VA","Virginia Beach",2013-04-01
"227",5,2013,1129,925,1128,"VA","Virginia Beach",2013-05-01
"228",6,2013,1083,903,1064,"VA","Virginia Beach",2013-06-01
"229",7,2013,1084,906,1050,"VA","Virginia Beach",2013-07-01
"230",8,2013,1068,895,1022,"VA","Virginia Beach",2013-08-01
"231",9,2013,1083,895,1049,"VA","Virginia Beach",2013-09-01
"232",10,2013,1101,891,1085,"VA","Virginia Beach",2013-10-01
"233",11,2013,1018,829,998,"VA","Virginia Beach",2013-11-01
"234",12,2013,988,821,982,"VA","Virginia Beach",2013-12-01
"235",1,2014,977,822,985,"VA","Virginia Beach",2014-01-01
"236",2,2014,996,846,1001,"VA","Virginia Beach",2014-02-01
"237",3,2014,1016,861,1015,"VA","Virginia Beach",2014-03-01
"238",4,2014,1050,886,1046,"VA","Virginia Beach",2014-04-01
"239",5,2014,1111,916,1101,"VA","Virginia Beach",2014-05-01
"240",6,2014,1131,933,1124,"VA","Virginia Beach",2014-06-01
"241",7,2014,1133,925,1111,"VA","Virginia Beach",2014-07-01
"242",8,2014,1113,914,1087,"VA","Virginia Beach",2014-08-01
"243",9,2014,1116,907,1087,"VA","Virginia Beach",2014-09-01
"244",10,2014,1094,905,1071,"VA","Virginia Beach",2014-10-01
"245",11,2014,1098,916,1086,"VA","Virginia Beach",2014-11-01
"246",12,2014,1111,923,1102,"VA","Virginia Beach",2014-12-01
"247",1,2015,1108,921,1123,"VA","Virginia Beach",2015-01-01
"248",2,2015,1108,920,1122,"VA","Virginia Beach",2015-02-01
"249",3,2015,1107,912,1117,"VA","Virginia Beach",2015-03-01
"250",4,2015,1124,926,1129,"VA","Virginia Beach",2015-04-01
"251",5,2015,1139,915,1108,"VA","Virginia Beach",2015-05-01
"252",6,2015,1187,927,1123,"VA","Virginia Beach",2015-06-01
"253",7,2015,1167,922,1103,"VA","Virginia Beach",2015-07-01
"254",8,2015,1145,934,1098,"VA","Virginia Beach",2015-08-01
"255",9,2015,1131,944,1117,"VA","Virginia Beach",2015-09-01
"256",10,2015,1113,940,1112,"VA","Virginia Beach",2015-10-01
"257",11,2015,1115,946,1124,"VA","Virginia Beach",2015-11-01
"258",12,2015,1121,958,1118,"VA","Virginia Beach",2015-12-01
"259",1,2016,1138,977,1150,"VA","Virginia Beach",2016-01-01
"260",2,2016,1148,982,1161,"VA","Virginia Beach",2016-02-01
"261",3,2016,1165,993,1188,"VA","Virginia Beach",2016-03-01
"262",4,2016,1183,1000,1214,"VA","Virginia Beach",2016-04-01
"263",5,2016,1185,1014,1212,"VA","Virginia Beach",2016-05-01
"264",6,2016,1177,1011,1197,"VA","Virginia Beach",2016-06-01
"265",7,2016,1180,1013,1188,"VA","Virginia Beach",2016-07-01
"266",8,2016,1182,1008,1189,"VA","Virginia Beach",2016-08-01
"267",9,2016,1171,1000,1175,"VA","Virginia Beach",2016-09-01
"268",10,2016,1166,997,1177,"VA","Virginia Beach",2016-10-01
"269",11,2016,1165,1000,1187,"VA","Virginia Beach",2016-11-01
"270",12,2016,1158,999,1181,"VA","Virginia Beach",2016-12-01
"271",1,2017,1143,985,1153,"VA","Virginia Beach",2017-01-01
"272",2,2017,1148,983,1157,"VA","Virginia Beach",2017-02-01
"273",3,2017,1144,974,1168,"VA","Virginia Beach",2017-03-01
"274",4,2017,1155,989,1185,"VA","Virginia Beach",2017-04-01
"275",5,2017,1160,999,1183,"VA","Virginia Beach",2017-05-01
"276",6,2017,1163,1008,1184,"VA","Virginia Beach",2017-06-01
"277",7,2017,1173,1024,1189,"VA","Virginia Beach",2017-07-01
"278",8,2017,1187,1032,1199,"VA","Virginia Beach",2017-08-01
"279",9,2017,1185,1030,1197,"VA","Virginia Beach",2017-09-01
"280",10,2017,1190,1038,1195,"VA","Virginia Beach",2017-10-01
"281",11,2017,1193,1030,1198,"VA","Virginia Beach",2017-11-01
"282",12,2017,1184,1025,1189,"VA","Virginia Beach",2017-12-01
"283",1,2018,1184,1031,1187,"VA","Virginia Beach",2018-01-01
"284",2,2018,1196,1036,1194,"VA","Virginia Beach",2018-02-01
"285",3,2018,1200,1044,1203,"VA","Virginia Beach",2018-03-01
"286",4,2018,1192,1041,1195,"VA","Virginia Beach",2018-04-01
"287",5,2018,1210,1052,1206,"VA","Virginia Beach",2018-05-01
"288",6,2018,1229,1060,1224,"VA","Virginia Beach",2018-06-01
"289",7,2018,1241,1079,1240,"VA","Virginia Beach",2018-07-01
"290",8,2018,1250,1089,1254,"VA","Virginia Beach",2018-08-01
"291",9,2018,1270,1110,1266,"VA","Virginia Beach",2018-09-01
"292",10,2018,1255,1092,1259,"VA","Virginia Beach",2018-10-01
"293",11,2018,1254,1085,1269,"VA","Virginia Beach",2018-11-01
"294",12,2018,1249,1094,1264,"VA","Virginia Beach",2018-12-01
"295",1,2019,1270,1113,1300,"VA","Virginia Beach",2019-01-01
"296",2,2019,1282,1126,1314,"VA","Virginia Beach",2019-02-01
"297",3,2019,1298,1141,1324,"VA","Virginia Beach",2019-03-01
"298",1,2011,591,494,663,"OK","Tulsa",2011-01-01
"299",2,2011,629,516,718,"OK","Tulsa",2011-02-01
"300",3,2011,638,521,728,"OK","Tulsa",2011-03-01
"301",4,2011,637,522,732,"OK","Tulsa",2011-04-01
"302",5,2011,639,522,738,"OK","Tulsa",2011-05-01
"303",6,2011,628,518,732,"OK","Tulsa",2011-06-01
"304",7,2011,630,521,730,"OK","Tulsa",2011-07-01
"305",8,2011,701,567,779,"OK","Tulsa",2011-08-01
"306",9,2011,703,582,767,"OK","Tulsa",2011-09-01
"307",10,2011,702,585,759,"OK","Tulsa",2011-10-01
"308",11,2011,700,584,756,"OK","Tulsa",2011-11-01
"309",12,2011,696,579,753,"OK","Tulsa",2011-12-01
"310",1,2012,715,593,776,"OK","Tulsa",2012-01-01
"311",2,2012,707,558,779,"OK","Tulsa",2012-02-01
"312",3,2012,679,525,750,"OK","Tulsa",2012-03-01
"313",4,2012,685,512,747,"OK","Tulsa",2012-04-01
"314",5,2012,704,516,753,"OK","Tulsa",2012-05-01
"315",6,2012,685,523,734,"OK","Tulsa",2012-06-01
"316",7,2012,665,530,717,"OK","Tulsa",2012-07-01
"317",8,2012,679,521,740,"OK","Tulsa",2012-08-01
"318",9,2012,694,546,766,"OK","Tulsa",2012-09-01
"319",10,2012,683,554,743,"OK","Tulsa",2012-10-01
"320",11,2012,685,575,748,"OK","Tulsa",2012-11-01
"321",12,2012,682,569,729,"OK","Tulsa",2012-12-01
"322",1,2013,680,556,738,"OK","Tulsa",2013-01-01
"323",2,2013,692,563,748,"OK","Tulsa",2013-02-01
"324",3,2013,702,602,751,"OK","Tulsa",2013-03-01
"325",4,2013,685,587,747,"OK","Tulsa",2013-04-01
"326",5,2013,701,591,774,"OK","Tulsa",2013-05-01
"327",6,2013,695,580,776,"OK","Tulsa",2013-06-01
"328",7,2013,680,560,768,"OK","Tulsa",2013-07-01
"329",8,2013,666,548,733,"OK","Tulsa",2013-08-01
"330",9,2013,704,574,776,"OK","Tulsa",2013-09-01
"331",10,2013,701,578,770,"OK","Tulsa",2013-10-01
"332",11,2013,714,584,783,"OK","Tulsa",2013-11-01
"333",12,2013,714,594,788,"OK","Tulsa",2013-12-01
"334",1,2014,742,614,794,"OK","Tulsa",2014-01-01
"335",2,2014,739,609,796,"OK","Tulsa",2014-02-01
"336",3,2014,757,607,813,"OK","Tulsa",2014-03-01
"337",4,2014,753,601,822,"OK","Tulsa",2014-04-01
"338",5,2014,735,596,818,"OK","Tulsa",2014-05-01
"339",6,2014,732,604,815,"OK","Tulsa",2014-06-01
"340",7,2014,751,613,826,"OK","Tulsa",2014-07-01
"341",8,2014,755,618,819,"OK","Tulsa",2014-08-01
"342",9,2014,758,626,831,"OK","Tulsa",2014-09-01
"343",10,2014,754,633,830,"OK","Tulsa",2014-10-01
"344",11,2014,753,641,827,"OK","Tulsa",2014-11-01
"345",12,2014,767,635,829,"OK","Tulsa",2014-12-01
"346",1,2015,775,657,849,"OK","Tulsa",2015-01-01
"347",2,2015,782,659,861,"OK","Tulsa",2015-02-01
"348",3,2015,777,655,860,"OK","Tulsa",2015-03-01
"349",4,2015,774,660,854,"OK","Tulsa",2015-04-01
"350",5,2015,781,652,843,"OK","Tulsa",2015-05-01
"351",6,2015,786,635,817,"OK","Tulsa",2015-06-01
"352",7,2015,806,649,826,"OK","Tulsa",2015-07-01
"353",8,2015,811,660,830,"OK","Tulsa",2015-08-01
"354",9,2015,781,642,834,"OK","Tulsa",2015-09-01
"355",10,2015,762,646,829,"OK","Tulsa",2015-10-01
"356",11,2015,783,680,853,"OK","Tulsa",2015-11-01
"357",12,2015,800,705,868,"OK","Tulsa",2015-12-01
"358",1,2016,776,678,833,"OK","Tulsa",2016-01-01
"359",2,2016,777,673,837,"OK","Tulsa",2016-02-01
"360",3,2016,783,675,847,"OK","Tulsa",2016-03-01
"361",4,2016,784,676,847,"OK","Tulsa",2016-04-01
"362",5,2016,787,676,853,"OK","Tulsa",2016-05-01
"363",6,2016,802,695,870,"OK","Tulsa",2016-06-01
"364",7,2016,791,684,862,"OK","Tulsa",2016-07-01
"365",8,2016,791,687,859,"OK","Tulsa",2016-08-01
"366",9,2016,787,685,850,"OK","Tulsa",2016-09-01
"367",10,2016,774,673,834,"OK","Tulsa",2016-10-01
"368",11,2016,753,658,811,"OK","Tulsa",2016-11-01
"369",12,2016,748,656,806,"OK","Tulsa",2016-12-01
"370",1,2017,744,653,807,"OK","Tulsa",2017-01-01
"371",2,2017,746,647,816,"OK","Tulsa",2017-02-01
"372",3,2017,749,650,814,"OK","Tulsa",2017-03-01
"373",4,2017,758,654,826,"OK","Tulsa",2017-04-01
"374",5,2017,766,653,834,"OK","Tulsa",2017-05-01
"375",6,2017,764,650,832,"OK","Tulsa",2017-06-01
"376",7,2017,764,653,826,"OK","Tulsa",2017-07-01
"377",8,2017,765,660,823,"OK","Tulsa",2017-08-01
"378",9,2017,766,661,829,"OK","Tulsa",2017-09-01
"379",10,2017,761,657,824,"OK","Tulsa",2017-10-01
"380",11,2017,771,668,826,"OK","Tulsa",2017-11-01
"381",12,2017,770,672,828,"OK","Tulsa",2017-12-01
"382",1,2018,769,669,826,"OK","Tulsa",2018-01-01
"383",2,2018,779,685,838,"OK","Tulsa",2018-02-01
"384",3,2018,775,684,834,"OK","Tulsa",2018-03-01
"385",4,2018,781,685,843,"OK","Tulsa",2018-04-01
"386",5,2018,791,687,858,"OK","Tulsa",2018-05-01
"387",6,2018,796,688,863,"OK","Tulsa",2018-06-01
"388",7,2018,807,693,872,"OK","Tulsa",2018-07-01
"389",8,2018,820,713,882,"OK","Tulsa",2018-08-01
"390",9,2018,831,729,887,"OK","Tulsa",2018-09-01
"391",10,2018,822,720,883,"OK","Tulsa",2018-10-01
"392",11,2018,813,720,877,"OK","Tulsa",2018-11-01
"393",12,2018,810,719,874,"OK","Tulsa",2018-12-01
"394",1,2019,822,732,885,"OK","Tulsa",2019-01-01
"395",2,2019,835,743,902,"OK","Tulsa",2019-02-01
"396",3,2019,826,734,892,"OK","Tulsa",2019-03-01
"397",1,2011,618,493,671,"AZ","Tucson",2011-01-01
"398",2,2011,626,504,673,"AZ","Tucson",2011-02-01
"399",3,2011,628,505,669,"AZ","Tucson",2011-03-01
"400",4,2011,641,507,699,"AZ","Tucson",2011-04-01
"401",5,2011,672,507,713,"AZ","Tucson",2011-05-01
"402",6,2011,694,504,749,"AZ","Tucson",2011-06-01
"403",7,2011,653,492,697,"AZ","Tucson",2011-07-01
"404",8,2011,636,507,690,"AZ","Tucson",2011-08-01
"405",9,2011,618,515,683,"AZ","Tucson",2011-09-01
"406",10,2011,630,528,693,"AZ","Tucson",2011-10-01
"407",11,2011,631,522,700,"AZ","Tucson",2011-11-01
"408",12,2011,625,531,690,"AZ","Tucson",2011-12-01
"409",1,2012,631,547,696,"AZ","Tucson",2012-01-01
"410",2,2012,626,517,695,"AZ","Tucson",2012-02-01
"411",3,2012,647,530,692,"AZ","Tucson",2012-03-01
"412",4,2012,633,524,675,"AZ","Tucson",2012-04-01
"413",5,2012,636,516,691,"AZ","Tucson",2012-05-01
"414",6,2012,647,518,686,"AZ","Tucson",2012-06-01
"415",7,2012,642,521,698,"AZ","Tucson",2012-07-01
"416",8,2012,656,527,692,"AZ","Tucson",2012-08-01
"417",9,2012,667,535,696,"AZ","Tucson",2012-09-01
"418",10,2012,651,530,694,"AZ","Tucson",2012-10-01
"419",11,2012,669,545,708,"AZ","Tucson",2012-11-01
"420",12,2012,667,560,708,"AZ","Tucson",2012-12-01
"421",1,2013,651,548,707,"AZ","Tucson",2013-01-01
"422",2,2013,649,543,713,"AZ","Tucson",2013-02-01
"423",3,2013,652,545,713,"AZ","Tucson",2013-03-01
"424",4,2013,659,549,707,"AZ","Tucson",2013-04-01
"425",5,2013,659,536,711,"AZ","Tucson",2013-05-01
"426",6,2013,654,522,699,"AZ","Tucson",2013-06-01
"427",7,2013,645,530,691,"AZ","Tucson",2013-07-01
"428",8,2013,659,526,686,"AZ","Tucson",2013-08-01
"429",9,2013,675,526,694,"AZ","Tucson",2013-09-01
"430",10,2013,678,523,704,"AZ","Tucson",2013-10-01
"431",11,2013,647,516,695,"AZ","Tucson",2013-11-01
"432",12,2013,653,530,699,"AZ","Tucson",2013-12-01
"433",1,2014,623,514,686,"AZ","Tucson",2014-01-01
"434",2,2014,632,520,689,"AZ","Tucson",2014-02-01
"435",3,2014,652,526,683,"AZ","Tucson",2014-03-01
"436",4,2014,656,545,698,"AZ","Tucson",2014-04-01
"437",5,2014,656,552,704,"AZ","Tucson",2014-05-01
