DATE,CSUSHPINSA
1987-01-01,63.753
1987-02-01,64.153
1987-03-01,64.48899999999999
1987-04-01,64.994
1987-05-01,65.569
1987-06-01,66.238
1987-07-01,66.80199999999999
1987-08-01,67.282
1987-09-01,67.637
1987-10-01,67.916
1987-11-01,68.107
1987-12-01,68.358
1988-01-01,68.595
1988-02-01,68.928
1988-03-01,69.335
1988-04-01,69.798
1988-05-01,70.417
1988-06-01,71.07600000000001
1988-07-01,71.694
1988-08-01,72.194
1988-09-01,72.583
1988-10-01,72.831
1988-11-01,73.074
1988-12-01,73.286
1989-01-01,73.623
1989-02-01,73.973
1989-03-01,74.415
1989-04-01,74.873
1989-05-01,75.30199999999999
1989-06-01,75.702
1989-07-01,76.048
1989-08-01,76.279
1989-09-01,76.42699999999999
1989-10-01,76.493
1989-11-01,76.524
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.041
1990-05-01,77.29899999999999
1990-06-01,77.50399999999999
1990-07-01,77.556
1990-08-01,77.473
1990-09-01,77.222
1990-10-01,76.906
1990-11-01,76.374
1990-12-01,75.965
1991-01-01,75.527
1991-02-01,75.248
1991-03-01,75.14
1991-04-01,75.312
1991-05-01,75.76899999999999
1991-06-01,76.252
1991-07-01,76.509
1991-08-01,76.586
1991-09-01,76.57
1991-10-01,76.285
1991-11-01,76.033
1991-12-01,75.832
1992-01-01,75.695
1992-02-01,75.65100000000001
1992-03-01,75.81
1992-04-01,76.077
1992-05-01,76.396
1992-06-01,76.601
1992-07-01,76.71
1992-08-01,76.73100000000001
1992-09-01,76.62899999999999
1992-10-01,76.6
1992-11-01,76.582
1992-12-01,76.467
1993-01-01,76.398
1993-02-01,76.33
1993-03-01,76.385
1993-04-01,76.66199999999999
1993-05-01,77.031
1993-06-01,77.517
1993-07-01,77.885
1993-08-01,78.131
1993-09-01,78.2
1993-10-01,78.176
1993-11-01,78.176
1993-12-01,78.119
1994-01-01,78.204
1994-02-01,78.21
1994-03-01,78.355
1994-04-01,78.709
1994-05-01,79.218
1994-06-01,79.71
1994-07-01,80.072
1994-08-01,80.325
1994-09-01,80.347
1994-10-01,80.31
1994-11-01,80.175
1994-12-01,80.085
1995-01-01,80.036
1995-02-01,80.005
1995-03-01,80.094
1995-04-01,80.387
1995-05-01,80.709
1995-06-01,81.085
1995-07-01,81.428
1995-08-01,81.671
1995-09-01,81.756
1995-10-01,81.745
1995-11-01,81.65
1995-12-01,81.533
1996-01-01,81.44800000000001
1996-02-01,81.421
1996-03-01,81.687
1996-04-01,82.145
1996-05-01,82.62299999999999
1996-06-01,83.072
1996-07-01,83.444
1996-08-01,83.67200000000001
1996-09-01,83.728
1996-10-01,83.655
1996-11-01,83.581
1996-12-01,83.515
1997-01-01,83.554
1997-02-01,83.619
1997-03-01,83.935
1997-04-01,84.34899999999999
1997-05-01,84.896
1997-06-01,85.429
1997-07-01,85.87100000000001
1997-08-01,86.18
1997-09-01,86.34
1997-10-01,86.43700000000001
1997-11-01,86.66
1997-12-01,86.87700000000001
1998-01-01,87.193
1998-02-01,87.404
1998-03-01,87.90700000000001
1998-04-01,88.587
1998-05-01,89.40299999999999
1998-06-01,90.223
